x,y,u,v,g
1.5, 10, 2.2, 0.5, -0.3, 
1.72, 10.047, 2.2, 0.47, -0.3, 
1.94, 10.0925, 2.2, 0.44, -0.3, 
2.16, 10.135, 2.2, 0.41, -0.3, 
2.38, 10.1745, 2.2, 0.38, -0.3, 
2.6, 10.211, 2.2, 0.35, -0.3, 
2.82, 10.2445, 2.2, 0.32, -0.3, 
3.04, 10.275, 2.2, 0.29, -0.3, 
3.26, 10.3025, 2.2, 0.26, -0.3, 
3.48, 10.327, 2.2, 0.23, -0.3, 
3.7, 10.3485, 2.2, 0.2, -0.3, 
3.92, 10.367, 2.2, 0.17, -0.3, 
4.14, 10.3825, 2.2, 0.14, -0.3, 
4.36, 10.395, 2.2, 0.11, -0.3, 
4.58, 10.4045, 2.2, 0.08, -0.3, 
4.8, 10.411, 2.2, 0.05, -0.3, 
5.02, 10.4145, 2.2, 0.02, -0.3, 
5.24, 10.415, 2.2, -0.01, -0.3, 
5.46, 10.4125, 2.2, -0.04, -0.3, 
5.68, 10.407, 2.2, -0.07, -0.3, 
5.9, 10.3985, 2.2, -0.1, -0.3, 
6.12, 10.387, 2.2, -0.13, -0.3, 
6.34, 10.3725, 2.2, -0.16, -0.3, 
6.56, 10.355, 2.2, -0.19, -0.3, 
6.78, 10.3345, 2.2, -0.22, -0.3, 
7, 10.311, 2.2, -0.25, -0.3, 
7.22, 10.2845, 2.2, -0.28, -0.3, 
7.44, 10.255, 2.2, -0.31, -0.3, 
7.66, 10.2225, 2.2, -0.34, -0.3, 
7.88, 10.187, 2.2, -0.37, -0.3, 
8.1, 10.1485, 2.2, -0.4, -0.3, 
8.32, 10.107, 2.2, -0.43, -0.3, 
8.54, 10.0625, 2.2, -0.46, -0.3, 
8.76, 10.015, 2.2, -0.49, -0.3, 
8.98, 9.96449, 2.2, -0.52, -0.3, 
9.2, 9.91099, 2.2, -0.55, -0.3, 
9.42, 9.85449, 2.2, -0.58, -0.3, 
9.64, 9.79499, 2.2, -0.61, -0.3, 
9.86, 9.73249, 2.2, -0.64, -0.3, 
10.08, 9.66699, 2.2, -0.67, -0.3, 
10.3, 9.59849, 2.2, -0.7, -0.3, 
